margin,0.1,0.5,1,1.5,2
AUROC,0.792708,0.807265,0.810302,0.810132,0.810207
AUPRC,0.553586,0.589147,0.595979,0.594715,0.593563
F1,0.472563,0.539252,0.544595,0.536599,0.531696
alpha,0.05,0.1,0.3,0.6,0.9
AUROC,0.81036,0.810302,0.810212,0.810286,0.810379
AUPRC,0.595995,0.595979,0.596143,0.596216,0.596414
F1,0.5433,0.544595,0.544251,0.544143,0.543828
lr,1.00E-02,1.00E-03,1.00E-04,1.00E-05,1.00E-06
AUROC,0.786127,0.800529,0.810302,0.805612,0.57343
AUPRC,0.547622,0.58043,0.595979,0.577138,0.168196
F1,0.470949,0.538403,0.544595,0.529676,0.228671
batch size,64,128,256,384,512
AUROC,0.809008,0.809074,0.810302,0.81305,0.812137
AUPRC,0.595963,0.59569,0.595979,0.595755,0.595408
F1,0.546654,0.545686,0.544595,0.540105,0.540439
